PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Child,Fare_per_Age,Title,PricePerPax
1,0,3,"Braund, Mr. Owen Harris",male,22.0,1,0,A/5 21171,7.25,S,False,0.32954545454545453,Mr,3.625
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C,False,1.8758763157894736,Mrs,35.64165
3,1,3,"Heikkinen, Miss. Laina",female,26.0,0,0,STON/O2. 3101282,7.925,S,False,0.3048076923076923,Miss,7.925
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,S,False,1.5171428571428571,Mrs,26.55
5,0,3,"Allen, Mr. William Henry",male,35.0,0,0,373450,8.05,S,False,0.23,Mr,8.05
6,0,3,"Moran, Mr. James",male,28.0,0,0,330877,8.4583,Q,False,0.30208214285714285,Mr,8.4583
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,S,False,0.9604166666666666,Mr,51.8625
8,0,3,"Palsson, Master. Gosta Leonard",male,2.0,3,1,349909,21.075,S,True,10.5375,Master,4.215
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,S,False,0.41234444444444446,Mrs,3.7111
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,C,True,2.1479142857142857,Mrs,15.0354
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,S,True,4.175,Miss,5.566666666666666
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,S,False,0.45775862068965517,Miss,26.55
13,0,3,"Saundercock, Mr. William Henry",male,20.0,0,0,A/5. 2151,8.05,S,False,0.4025,Mr,8.05
14,0,3,"Andersson, Mr. Anders Johan",male,39.0,1,5,347082,31.275,S,False,0.8019230769230768,Mr,4.4678571428571425
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0,0,350406,7.8542,S,True,0.5610142857142857,Miss,7.8542
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,55.0,0,0,248706,16.0,S,False,0.2909090909090909,Mrs,16.0
17,0,3,"Rice, Master. Eugene",male,2.0,4,1,382652,29.125,Q,True,14.5625,Master,4.854166666666667
18,1,2,"Williams, Mr. Charles Eugene",male,28.0,0,0,244373,13.0,S,False,0.4642857142857143,Mr,13.0
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31.0,1,0,345763,18.0,S,False,0.5806451612903226,Mrs,9.0
20,1,3,"Masselmani, Mrs. Fatima",female,28.0,0,0,2649,7.225,C,False,0.25803571428571426,Mrs,7.225
21,0,2,"Fynney, Mr. Joseph J",male,35.0,0,0,239865,26.0,S,False,0.7428571428571429,Mr,26.0
22,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,S,False,0.38235294117647056,Mr,13.0
23,1,3,"McGowan, Miss. Anna ""Annie""",female,15.0,0,0,330923,8.0292,Q,True,0.53528,Miss,8.0292
24,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,S,False,1.2678571428571428,Mr,35.5
25,0,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,S,True,2.634375,Miss,4.215
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,1,5,347077,31.3875,S,False,0.8259868421052632,Mrs,4.483928571428572
27,0,3,"Emir, Mr. Farred Chehab",male,28.0,0,0,2631,7.225,C,False,0.25803571428571426,Mr,7.225
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,3,2,19950,263.0,S,False,13.842105263157896,Mr,43.833333333333336
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",female,28.0,0,0,330959,7.8792,Q,False,0.2814,Miss,7.8792
30,0,3,"Todoroff, Mr. Lalio",male,28.0,0,0,349216,7.8958,S,False,0.28199285714285716,Mr,7.8958
31,0,1,"Uruchurtu, Don. Manuel E",male,40.0,0,0,PC 17601,27.7208,C,False,0.69302,Don,27.7208
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,28.0,1,0,PC 17569,146.5208,C,False,5.232885714285715,Mrs,73.2604
33,1,3,"Glynn, Miss. Mary Agatha",female,28.0,0,0,335677,7.75,Q,False,0.2767857142857143,Miss,7.75
34,0,2,"Wheadon, Mr. Edward H",male,66.0,0,0,C.A. 24579,10.5,S,False,0.1590909090909091,Mr,10.5
35,0,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,C,False,2.9346714285714284,Mr,41.0854
36,0,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,S,False,1.2380952380952381,Mr,26.0
37,1,3,"Mamee, Mr. Hanna",male,28.0,0,0,2677,7.2292,C,False,0.2581857142857143,Mr,7.2292
38,0,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,S,False,0.38333333333333336,Mr,8.05
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18.0,2,0,345764,18.0,S,False,1.0,Miss,6.0
40,1,3,"Nicola-Yarred, Miss. Jamila",female,14.0,1,0,2651,11.2417,C,True,0.8029785714285714,Miss,5.62085
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1,0,7546,9.475,S,False,0.236875,Mrs,4.7375
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27.0,1,0,11668,21.0,S,False,0.7777777777777778,Mrs,10.5
43,0,3,"Kraeff, Mr. Theodor",male,28.0,0,0,349253,7.8958,C,False,0.28199285714285716,Mr,7.8958
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",female,3.0,1,2,SC/Paris 2123,41.5792,C,True,13.859733333333333,Miss,10.3948
45,1,3,"Devaney, Miss. Margaret Delia",female,19.0,0,0,330958,7.8792,Q,False,0.4146947368421053,Miss,7.8792
46,0,3,"Rogers, Mr. William John",male,28.0,0,0,S.C./A.4. 23567,8.05,S,False,0.28750000000000003,Mr,8.05
47,0,3,"Lennon, Mr. Denis",male,28.0,1,0,370371,15.5,Q,False,0.5535714285714286,Mr,7.75
48,1,3,"O'Driscoll, Miss. Bridget",female,28.0,0,0,14311,7.75,Q,False,0.2767857142857143,Miss,7.75
49,0,3,"Samaan, Mr. Youssef",male,28.0,2,0,2662,21.6792,C,False,0.7742571428571429,Mr,7.226400000000001
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,S,False,0.9888888888888889,Mrs,8.9
51,0,3,"Panula, Master. Juha Niilo",male,7.0,4,1,3101295,39.6875,S,True,5.669642857142857,Master,6.614583333333333
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.0,0,0,A/4. 39886,7.8,S,False,0.37142857142857144,Mr,7.8
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,C,False,1.5659020408163267,Mrs,38.3646
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.0,1,0,2926,26.0,S,False,0.896551724137931,Mrs,13.0
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,C,False,0.9535261538461538,Mr,30.9896
56,1,1,"Woolner, Mr. Hugh",male,28.0,0,0,19947,35.5,S,False,1.2678571428571428,Mr,35.5
57,1,2,"Rugg, Miss. Emily",female,21.0,0,0,C.A. 31026,10.5,S,False,0.5,Miss,10.5
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,C,False,0.2536561403508772,Mr,7.2292
59,1,2,"West, Miss. Constance Mirium",female,5.0,1,2,C.A. 34651,27.75,S,True,5.55,Miss,6.9375
60,0,3,"Goodwin, Master. William Frederick",male,11.0,5,2,CA 2144,46.9,S,True,4.263636363636364,Master,5.8625
61,0,3,"Sirayanian, Mr. Orsen",male,22.0,0,0,2669,7.2292,C,False,0.3286,Mr,7.2292
62,1,1,"Icard, Miss. Amelie",female,38.0,0,0,113572,80.0,S,False,2.1052631578947367,Miss,80.0
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,S,False,1.855,Mr,41.7375
64,0,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,S,True,6.975,Master,4.6499999999999995
65,0,1,"Stewart, Mr. Albert A",male,28.0,0,0,PC 17605,27.7208,C,False,0.9900285714285715,Mr,27.7208
66,1,3,"Moubarek, Master. Gerios",male,28.0,1,1,2661,15.2458,C,False,0.5444928571428571,Master,5.081933333333333
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,S,False,0.3620689655172414,Mrs,10.5
68,0,3,"Crease, Mr. Ernest James",male,19.0,0,0,S.P. 3464,8.1583,S,False,0.4293842105263158,Mr,8.1583
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.0,4,2,3101281,7.925,S,False,0.4661764705882353,Miss,1.1321428571428571
70,0,3,"Kink, Mr. Vincenz",male,26.0,2,0,315151,8.6625,S,False,0.3331730769230769,Mr,2.8874999999999997
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.0,0,0,C.A. 33111,10.5,S,False,0.328125,Mr,10.5
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,S,False,2.93125,Miss,5.8625
73,0,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,S,False,3.5,Mr,73.5
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.0,1,0,2680,14.4542,C,False,0.5559307692307692,Mr,7.2271
75,1,3,"Bing, Mr. Lee",male,32.0,0,0,1601,56.4958,S,False,1.76549375,Mr,56.4958
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,S,False,0.306,Mr,7.65
77,0,3,"Staneff, Mr. Ivan",male,28.0,0,0,349208,7.8958,S,False,0.28199285714285716,Mr,7.8958
78,0,3,"Moutal, Mr. Rahamin Haim",male,28.0,0,0,374746,8.05,S,False,0.28750000000000003,Mr,8.05
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,0,2,248738,29.0,S,True,34.93975903614458,Master,9.666666666666666
80,1,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,S,False,0.41583333333333333,Miss,12.475
81,0,3,"Waelens, Mr. Achille",male,22.0,0,0,345767,9.0,S,False,0.4090909090909091,Mr,9.0
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,S,False,0.3275862068965517,Mr,9.5
83,1,3,"McDermott, Miss. Brigdet Delia",female,28.0,0,0,330932,7.7875,Q,False,0.278125,Miss,7.7875
84,0,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,S,False,1.6821428571428572,Mr,47.1
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,SO/C 14885,10.5,S,False,0.6176470588235294,Miss,10.5
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,3101278,15.85,S,False,0.4803030303030303,Mrs,3.9625
